Kundennummer;Filialnummer;Filialname;Strasse;PLZ                      ;ORT
21504;80102;Real Tuttlingne 8010.2        ;Rudolf- Diesel- Str. 28       ;78532;TUTTLINGEN

21504;80119;REAL Kirchentellinsfurt       ;Wannweiler Straße 10          ;72138;Kirchentellinsfurt

21504;80171;REAL Wittlich 8017.1          ;Justus-von-Liebig-Str. 4      ;54516;WITTLICH

21504;80218;REAL Böblingen 1 8021.8       ;Röhrer Weg 15+18              ;71032;BÖBLINGEN 1

21504;80225;REAL Tübingen 8022.5          ;Alte Landstraße 45            ;72072;TÜBINGEN

21504;80232;REAL Balingen 1 8023.2        ;Lange Straße 24+37            ;72336;Balingen 1

21504;80256;REAL Horb (am Neckar)         ;Hahnerstraße 1                ;72160;Horb (am Neckar)

21504;80263;REAL Kirchheim (am Neckar)    ;Max-Eyth-Straße 6             ;74366;Kirchheim am Neckar

21504;80270;REAL Böblingen-Hulb 2         ;Otto-Lilienthal-Straße 24     ;71034;BÖBLINGEN-HULB 2

21504;80294;REAL Waiblingen 8029.4        ;Ruhrstraße 5                  ;71332;Waiblingen

21504;80331;REAL Gerlingen 8033.1         ;Weilimdorfer Straße 91        ;70839;Gerlingen

21504;80355;REAL Oberndorf (am Neckar)    ;Friedrich-List-Straße 10      ;78727;Oberndorf am Neckar

21504;80386;REAL Jettingen 8038.6         ;Heilbergstraße 3              ;71131;Jettingen

21504;80508;REAL Kaiserslautern 3         ;Mannheimer Straße 234         ;67657;Kaiserslautern 3

21504;80546;REAL Balingen-City 2 8054.6   ;Wilhelmstraße 34              ;72336;Balingen-City 2

21504;80591;REAL Sindelfingen 8059.1      ;Mercedesstraße 12             ;71063;Sindelfingen

21504;80690;REAL Nürtingen 8069.0         ;Eichendorffstraße             ;72622;NÜRTINGEN

21504;80768;REAL Ludwigshafen 8076.8      ;Yorkstr. 2                    ;67059;Ludwigshafen

21504;80812;REAL Heidenheim 8081.2        ;Nattheimerstraße 100          ;89520;Heidenheim

21504;80850;REAL Senden 8085.0            ;Berliner Straße 7             ;89250;Senden

21504;80867;REAL Leipzig-Grünau 3         ;Ludwigsburger Straße 9        ;4209;LEIPZIG-GRÜNAU 3

21504;80874;REAL Potsdam-Drewitz          ;Nuthe Str.                    ;14480;Potsdam-Drewitz

21504;80881;REAL Berlin-Hellersdorf       ;Stendaler Straße              ;12627;Berlin-Hellersdorf

21504;80898;REAL Berlin-Wedding (1)       ;Badstraße 4                   ;13357;Berlin-Wedding (1)

21504;82021;REAL Nienburg 8202.1          ;Kräher Weg 1                  ;31582;Nienburg

21504;82038;REAL Hannover-Linden          ;Davenstedter Straße 80        ;30453;Hannover-Linden

21504;82045;REAL Hermsdorf-Irxleben       ;Elbepark                      ;39326;Hermsdorf-Irxleben

21504;82052;REAL Braunschweig 2           ;Otto von Guericke Straße 2    ;38122;Braunschweig 2

21504;82069;REAL Stuhr/Groß-Mackestedt    ;Proppstr. 164                 ;28816;Stuhr/Groß-Mackested

21504;82076;REAL Isernhagen-Altwarmbüchen ;Opelstraße 3 - 5              ;30916;ISERNHAGEN-ALTWARMBÜ

21504;82083;REAL Gifhorn 8208.3           ;Eysselheideweg 5              ;38518;Gifhorn

21504;82090;REAL Neumünster 8209.0        ;Wasbeker Straße 330           ;24537;NEUMÜNSTER

21504;82106;REAL Ritterhude-Ihlpohl       ;Am Rosenhügel 5               ;27721;Ritterhude-Ihlpohl

21504;82113;REAL Bremen-Habenhausen 1     ;Steinsetzer Straße 15         ;28279;Bremen-Habenhausen 1

21504;82120;REAL Celle 8212.0             ;An der Hasenbahn 3            ;29225;Celle

21504;82137;REAL Goslar 8213.7            ;Gutenbergstraße 2             ;38640;Goslar

21504;82144;REAL Oldenburg 8214.4         ;Stubbenweg 27                 ;26125;Oldenburg

21504;82151;REAL Hildesheim II 8215.1     ;Cheruskerring 26              ;31137;Hildesheim II

21504;82168;REAL Holzminden 8216.8        ;Bulte 10                      ;37603;Holzminden

21504;82182;REAL Schwerin II 8218.2       ;Am Marienplatz/Schloßpark     ;19053;Schwerin II

21504;82199;REAL Uelzen 8219.9            ;Fischerhofstraße 6            ;29525;Uelzen

21504;82205;REAL Garbsen 8220.5           ;Havelser Straße 10            ;30823;Garbsen

21504;82212;REAL Lippstadt 8221.2         ;Bockenförder Str.181-183      ;59557;Lippstadt

21504;82229;REAL Halle - Neustadt 2       ;Am Bruchsee                   ;6122;Halle - Neustadt 2

21504;82236;REAL Bremen - Roland-Center 3 ;Alter Dorfweg 30-50           ;28259;BREMEN-ROLAND-CENTER

21504;82250;REAL Laatzen 8225.0           ;Albert-Schweitzer-Str. 12     ;30880;Laatzen

21504;82267;REAL Minden 8226.7            ;Lindenstraße 24               ;32423;Minden

21504;82274;REAL Helmstedt 8227.4         ;Werner-v.-Siemens-Str. 3      ;38350;Helmstedt

21504;82281;REAL Berlin-Reinickendorf (2) ;Senftenberger Ring 15-17      ;13439;Berlin-Reinickendorf

21504;82304;REAL Nordwalde 8230.4         ;Wallgraben 12 - 14            ;48356;Nordwalde

21504;82311;REAL Bremerhaven 1 8231.1     ;Pferdebade 6                  ;27580;Bremerhaven 1

21504;82328;REAL Bremerhaven 2 8232.8     ;Neufelder Weg                 ;27619;Bremerhaven 2

21504;82335;REAL Berlin - Treptow         ;Am Treptower Park 14          ;12435;Berlin - Treptow

21504;82342;REAL Hameln 8234.2            ;Karl-Wilhelm-Niemeyer-Str. 7  ;31785;Hameln

21504;82359;REAL Salzgitter-Thiede        ;Schäferwiese 15               ;38239;Salzgitter-Thiede

21504;82366;REAL Berlin-Reinickendorf (1) ;Am Borsigturm 2               ;13507;Berlin - Reinickendo

21504;82434;REAL Leißling / Weißenfels    ;Am Marktwege 2                ;6667;Leißling / Weißenfel

21504;82441;REAL Bergen/Rügen 8244.1      ;Gingster Chaussee/Ringstrasse ;18528;BERGEN/RÜGEN

21504;82458;REAL Eisenhüttenstadt         ;Nordpassage 1                 ;15890;EISENHÜTTENSTADT

21504;82465;REAL Groß Machnow 8246.5      ;Kleinkienitzer Str. 2         ;15834;GROß MACHNOW

21504;82472;REAL Rostock-Sievershagen     ;Ostseepark Str.3              ;18069;Rostock-Sievershagen

21504;82489;REAL Neubrandenburg 8248.9    ;Mirabellenstraße 2            ;17033;Neubrandenburg

21504;82496;REAL Greifswald 8249.6        ;Anklamer Landstr. 109         ;17491;Greifswald

21504;82502;REAL Bremen - Weserpark 2     ;Hans-Bredow-Straße 19         ;28307;Bremen - Weserpark 2

21504;82526;REAL Göttingen 1 8252.6       ;Große Breite 6                ;37077;GÖTTINGEN 1

21504;82540;REAL Berlin - Hohenschönhausen;Hansastraße 246               ;13051;BERLIN-HOHENSCHÖNHAU

21504;82557;REAL Berlin-Wedding (2)       ;Müller-/Ungarnstr. 47         ;13349;Berlin-Wedding (2)

21504;82564;REAL Staßfurt 8256.4          ;Hohenerxlebener Straße 50     ;39418;Staßfurt

21504;82571;REAL Hameln 8257.1            ;Pferdemarkt 1 (Festbau)       ;31785;Hameln

21504;82588;REAL Schwerin 1 8258.8        ;Grabenstr. 1                  ;19061;Schwerin 1

21504;82601;REAL Wernigerode 8260.1       ;Dornbergsweg 43               ;38855;Wernigerode

21504;82618;REAL Brandenburg 1 8261.8     ;Brielower Landstr. 29         ;14772;Brandenburg 1

21504;82625;REAL Finowfurt 8262.5         ;An der Fernstraße 167         ;16244;Finowfurt

21504;82632;REAL Halle - Peißen 1 8263.2  ;Berliner Str.Saarbr.          ;6188;Halle - Peißen 1

21504;82649;REAL Teltow 8264.9            ;Oderstraße 29                 ;14513;Teltow

21504;82656;REAL Gosen 8265.6             ;Am Müggepark 10-12            ;15537;Gosen

21504;82663;REAL Schwedt 8266.3           ;Landgrabenpark 1              ;16303;Schwedt

21504;82670;REAL Leipzig-Burghausen 1     ;Miltitzer Str. 13             ;4178;Leipzig-Burghausen 1

21504;82694;REAL Wildau 8269.4            ;Chausseestrasse 1             ;15745;Wildau

21504;82700;REAL Cuxhaven 8270.0          ;Konrad-Adenauer-Allee         ;27472;Cuxhaven

21504;82717;REAL Neuruppin 8271.7         ;Grentzstraße                  ;16816;Neuruppin

21504;82724;REAL Emersleben - Halberstadt ;Bruchweg                      ;38822;Emersleben - Halbers

21504;82731;REAL Erfurt 1 8273.1          ;Hermsdorfer Str. 4            ;99099;Erfurt 1

21504;82748;REAL Flensburg 8274.8         ;Schleswiger Str. 130          ;24941;Flensburg

21504;82755;REAL Hemmingen 8275.5         ;Alfred-Benz-Str. 1            ;30966;Hemmingen

21504;82823;REAL Berlin-Spandau 8282.3    ;Klosterstraße 3               ;13581;Berlin-Spandau

21504;83035;REAL Traunstein 8303.5        ;Am Haslacher Feld 5           ;83278;Traunstein

21504;83059;REAL Ansbach 8305.9           ;Residenzstraße 2-4            ;91522;Ansbach

21504;83073;REAL Deggendorf 8307.3        ;Graflinger Straße 121         ;94469;Deggendorf

21504;83103;REAL Augsburg-Königsbrunn 1   ;Foellstrasse 20               ;86343;AUGSBURG-KÖNIGSBRUNN

21504;83127;REAL Marktredwitz 8312.7      ;Leopoldstraße 30              ;95615;Marktredwitz

21504;83141;REAL Augsburg-Ost 2           ;Reichenbergerstr. 59          ;86161;Augsburg-Ost 2

21504;83165;REAL Nürnberg - Schweinau 2   ;Schwabacher Straße 99         ;90439;NÜrnberg - Schweinau

21504;83172;REAL Nürnberg 8317.2          ;Äußere Bayreuther Str. 80     ;90491;NÜRNBERG

21504;83189;REAL Zwiesel 8318.9           ;Alte Langdorfer Strasse 15    ;94227;Zwiesel

21504;83226;REAL Dörfles-Esbach 8322.6    ;Coburger Straße 2             ;96487;DÖrfles-Esbach

21504;83233;REAL Kulmbach 8323.3          ;Albert-Ruckdeschel-Str. 16    ;95326;Kulmbach

21504;83240;REAL Bayreuth I 8324.0        ;Riedinger Straße 21           ;95448;Bayreuth I

21504;83295;REAL Nürnberg I 8329.5        ;Virnsberger Straße 2 - 4      ;90431;NÜRNBERG I

21504;83349;REAL Regensburg 8334.9        ;Donaustaufer Straße 128       ;93059;Regensburg

21504;83356;REAL Pentling 8335.6          ;Hölkeringer Straße 20         ;93080;Pentling

21504;83363;REAL Straubing I 8336.3       ;Ittlinger Straße 224          ;94315;Straubing I

21504;83370;REAL Straubing II 8337.0      ;Otto-von-Dandl-Ring 11        ;94315;Straubing II

21504;83417;REAL Amberg 8341.7            ;Fuggerstraße 4                ;92224;Amberg

21504;83431;REAL Fürth 8343.1             ;Alexanderstraße 11            ;90762;FÜRTH

21504;83462;REAL Hallstadt Bamberg        ;Emil-Kammer-Straße 2          ;96103;Hallstadt

21504;83479;REAL Bayreuth II 8347.9       ;Carl-von-Linde-Strasse 6      ;95448;Bayreuth II

21504;83530;REAL Kempten 8353.0           ;Im Allmey 1                   ;87435;Kempten

21504;83547;REAL Landshut 8354.7          ;Alte Regensburger Str. 21     ;84030;Landshut

21504;83585;REAL Passau 8358.5            ;Holzmannstraße 52             ;94036;Passau

21504;83714;REAL Ostfildern-Scharnhausen  ;Bonhöffer Strasse 1           ;73760;OSTFILDERN-SCHARNHA.

21504;83721;REAL Landau                   ;Viehmarktstrasse 8            ;94405;LANDAU

21504;83738;REAL Neumarkt 8373.8          ;Dreilinger Strasse 1          ;92318;NEUMARKT

21504;83745;REAL Altötting                ;Burghauser Strasse 72         ;84503;ALTÖTTING

21504;83752;REAL Neustadt 8375.2          ;Karl- Eibel- Strasse 50       ;91413;NEUSTADT

21504;83769;Real Kronach 8376.9           ;Weissenburger Strasse 20A     ;96317;KRONACH

21504;83776;REAL Weiden 8377.6            ;Neustädter Strasse 22         ;92637;WEIDEN

21504;83783;REAL Bamberg 8378.3           ;Kirschäckerstrasse 11         ;96052;BAMBERG

21504;83790;REAL Neuöttingen 8379.0       ;Nagelschiedstraße 6           ;84524;NEUÖTTINGEN

21504;83813;Real Ansbach 8381.3           ;Ritter-von-Lang-Allee 7       ;91522;ANSBACH

21504;83837;REAL Pocking 8383.7           ;Passauer Srasse 56            ;94060;POCKING

21504;83844;Real Koengen 8384.4           ;Imanuel- Maier- Str.2         ;73257;KOENGEN

21504;83929;REAL Pfarrkirchen 8392.9      ;Fr.Stelzenberger-Str.1        ;84347;Pfarrkirchen

21504;83943;REAL München 8394.3           ;Margot-Kalinke-Straße4        ;80939;MÜNCHEN

21504;83950;REAL Schwabach 8395.0         ;Am Falbenholzweg 15           ;91126;Schwabach

21504;85015;REAL Dortmund - Aplerbeck 2   ;Schleefstr.15                 ;44287;Dortmund - Aplerbeck

21504;85602;REAL Freiburg 8560.2          ;St. Georgener Straße 2        ;79111;Freiburg

21504;85619;REAL Bruchsal 8561.9          ;Stuttgarter Straße 10         ;76646;Bruchsal

21504;85626;REAL Elchingen 8562.6         ;Nersinger Str. 28             ;89275;ELCHINGEN

21504;85633;REAL Ettlingen 8563.3         ;Zehntwiesenstrasse 47         ;76275;ETTLINGEN

21504;85718;REAL Germersheim 8571.8       ;Mainzer Strasse 6             ;76726;Germersheim

21504;85725;REAL Ueberlingen 8572.5       ;Nussdorfer Strasse 101        ;88662;Ueberlingen

21504;85732;REAL Filderstadt-Bernhausen   ;Plieninger Strasse 63d        ;70794;Filderstadt-Bernh.

21504;85756;REAL Neunkirchen 8575.6       ;Stummstraße 2                 ;66538;Neunkirchen

21504;85763;REAL Villingen-Schwenningen   ;Am neuen Markt 1              ;78054;Villingen-Schwenning

21504;85770;REAL Riegelsberg 8577.0       ;Saarbrücker Straße 262        ;66292;Riegelsberg

21504;85794;REAL Pirmasens 8579.4         ;Zweibrücker Straße 230        ;66954;Pirmasens

21504;85800;Real Darmstadt 8580.0         ;Gräfenhäuserstr./Leithaec     ;64293;Darmstadt

21504;85824;REAL Ulm Blautal-Center       ;Blaubeurer Str. 95            ;89077;Ulm Blautal-Center

21504;85831;REAL Saarbrücken 8583.1       ;Breslauer Straße 1 a          ;66121;SAARBRÜCKEN

21504;85855;REAL Saarlouis 8585.5         ;Carl-Zeiss-Straße 2           ;66740;Saarlouis

21504;85862;REAL Aschaffenburg 8586.2     ;Horch-Straße 120              ;63741;Aschaffenburg

21504;85879;REAL Frankenthal 8587.9       ;Frankenthaler Straße 67       ;67227;Frankenthal

21504;85886;REAL Rastatt 8588.6           ;Rauentaler Str. 21            ;76437;Rastatt

21504;85893;REAL Lahr 8589.3              ;Offenburger Straße 11         ;77933;Lahr

21504;86005;REAL Bielefeld 1 8600.5       ;Schweriner Straße 4           ;33605;Bielefeld 1

21504;86012;REAL Castrop-Rauxel           ;Siemensstraße 10              ;44579;Castrop-Rauxel

21504;86036;REAL Gelsenkirchen - Bur      ;Emscher Straße 37             ;45891;Gelsenkirchen - Bur

21504;86043;REAL Iserlohn 8604.3          ;Raiffeisenstraße 5            ;58638;Iserlohn

21504;86050;REAL Jülich 8605.0            ;An der Leimkaul 1             ;52428;JÜLICH

21504;86074;REAL Brühl 8607.4             ;Berzdorfer Str. 3-5           ;50321;BRÜHL

21504;86098;Real Plettenberg 8609.8       ;Maiplatz                      ;58840;PLETTENBERG

21504;86128;Real Dortmund 8612.8          ;Deutsche Straße 4             ;44339;DORTMUND-EVING

21504;86135;Real Dortmund 8613.5          ;Heimbrügge 5-7                ;44359;DORTMUND-MENGEDE

21504;86173;Real Pulheim 8617.3           ;Venloer Strasse               ;50259;PULHEIM

21504;86180;Real,- SB-Warenhaus GmbH      ;Kanalstrasse 51-55            ;41748;VIERSEN

21504;86203;REAL Bochum-Langendreer 2     ;Hauptstraße 212               ;44892;Bochum-Langendreer 2

21504;86210;REAL Heiligenhaus 8621.0      ;Velberter Straße 38 - 44      ;42579;Heiligenhaus

21504;86227;REAL Bielefeld 2 8622.7       ;Teutoburger Straße 98         ;33607;Bielefeld 2

21504;86234;REAL Bochum-Hoentrop 8623.4   ;Wattenscheider Hellweg 163    ;44867;BOCHUM-HOENTROP

21504;86258;Real Hagen 8625.8             ;Vollbrinkstraße 9             ;58135;HAGEN

21504;86265;Real Nettetal 8626.5          ;Niedieck Straße 167           ;41334;NETTETAL

21504;86302;REAL Eschweiler 8630.2        ;Auerbachstr. 10               ;52249;Eschweiler

21504;86319;REAL Köln (Gremberg)          ;Gremberger Str. 200           ;51105;KÖLN (Gremberg)

21504;86333;REAL Köln                     ;Weißhausstr.20-30             ;50939;KÖLN (SÜLZ)

21504;86340;REAL Düren 2 8634.0           ;Am Ellernbusch 22             ;52355;DÜREN 2

21504;86357;REAL Erftstadt (Liblar)       ;Gustav-Heinemann Str.2        ;50374;Erftstadt (Liblar)

21504;86401;REAL Bocholt 8640.1           ;Welfenstraße 21               ;46395;Bocholt

21504;86418;REAL Hemer 8641.8             ;Urbecker Straße 127           ;58675;Hemer

21504;86449;REAL Detmold 8644.9           ;Klingenbergstraße 31          ;32758;Detmold

21504;86456;REAL Recklinghausen           ;Castroper Straße 124          ;45665;Recklinghausen

21504;86463;REAL Herten (Westerholt)      ;Am Hoppenwall 1               ;45701;Herten (Westerholt)

21504;86470;REAL Wesel 8647.0             ;Rudolf-Diesel-Straße 7        ;46485;Wesel

21504;86487;REAL Moers 1 8648.7           ;Römerstraße 570               ;47443;Moers 1

21504;86500;REAL Bochum - Wattenscheid 1  ;Ottostraße 40 - 43            ;44867;Bochum-WattenscheiD

21504;86517;REAL Wuppertal-Langenfeld     ;Dieselstraße 20               ;42389;Wuppertal-Langenfeld

21504;86524;REAL Essen 8652.4             ;Husmannshofstr. 10            ;45143;Essen

21504;86531;REAL Hamburg-Lurup            ;Grandkuhlenweg 11             ;22549;Hamburg-Lurup

21504;86548;REAL Raisdorf 8654.8          ;Mergenthaler Str. 13 - 21     ;24223;Raisdorf

21504;86555;REAL Rendsburg 8655.5         ;Schleswiger Chaussee 249      ;24768;Rendsburg

21504;86562;REAL Schleswig 8656.2         ;Flensburger Straße 61         ;24837;Schleswig

21504;86579;REAL Herne 8657.9             ;Am Großmarkt 4                ;44653;Herne

21504;86586;REAL Düsseldorf Bilk 1        ;Friedrichstraße 152           ;40217;DÜSSELDORF Bilk 1

21504;86593;REAL Dortmund 1 8659.3        ;Bornstraße 160                ;44145;Dortmund 1

21504;86609;REAL Krefeld - Fischeln 1 8660;Hafelsstraße 200              ;47809;Krefeld - Fischeln 1

21504;86623;REAL Mönchengladbach - Rheydt ;Hauptstraße 278               ;41236;MÖNCHENGLADBACH-RHEY

21504;86647;REAL Mönchengladbach 1        ;Krefelder Straße 131          ;41063;MÖNCHENGALDBACH 1

21504;86654;REAL Paderborn 8665.4         ;Husener Straße 121            ;33100;Paderborn

21504;86661;REAL Hamm 8666.1              ;Richard-Mattei-Platz 1        ;59065;HAMM 1 ALLEE-CENTER

21504;86678;REAL Dülmen 8667.8            ;Auf dem Quellberg 16          ;48249;DÜLMEN

21504;86739;REAL Neuss 1 8673.9           ;Breslauer Straße 2            ;41460;Neuss 1
